Clave,Descripcion,PrecioPublico
10001,2600-20 ESPONJA ABRASIVA GRADO MUY FINO (CAJA) P20,"1,026.40"
10002,2602-20 ESPONJA ABRASIVA GRADO SUPER FINO P20,"1,026.40"
10004,2606-20 ESPONJA ABRASIVA GRADO MEDIANO (CAJA) P20,"1,026.40"
10005,6384-12 CINTA DE DOBLE CONTACTO (CAJA) P12,"4,065.72"
10007,7521-60 *K ROLLO MULTIFLEX MUY FINA C-MORADO 152.4X228MM P60,"1,671.08"
10011,G2000-1 ALMOHADILLA ALTO DESEMPEÑO 139 X 99 MM PIEZA,27.29
10012,P66-1 ALMOHADILLA BLANCA 92 X 46 MM 6MM PIEZA,20.21
10013,P76-1 ALMOHADILLA NEGRA 92 X 146 MM PIEZA,29.64
10014,P96-1 ALMOHADILLAS SCOTCH BRITE P96 VERDE 3M PIEZA,22.52
10015,3192-1 TELA PEGAJOSA MULTIPROPOSITO (TRACK CLOTH) PIEZA,46.76
10018,5861-1 KIT REVELADOR DE RAYAS 3M (DRY GUIDE COAT). PIEZA,"1,153.40"
10020,"1397-1 DISCO GREEN CORPS ROLOC 36"". DE 50MM PIEZA",26.63
10021,"1407-1 DISCO ROLOC VERDE GRANO 36 3 "".   76MM PIEZA",22.42
10022,"22394-1 DISCO ROLOC 3"". GRANO 50 PIEZA",16.78
10023,"22404-1 DISCO ROLOC 76 MM, G-P80 3M PIEZA",35.58
10024,31372-1 DISCO HOOKIT CUBITRON II 282 PERFORAC G120 PIEZA,28.04
10025,"31407-1 DISCO ROLOC 76MM,G-36 PIEZA",16.89
10026,33407-1 DISCO FIBRA CUBITRON II 115 X 22MM 4.5PUL G36 PIEZA,103.21
10027,33467-1 RUEDA DE CORTE CUBITRON II4.5PULG X .04PULG PIEZA,178.26
10030,18734-1 DISCO DE CERDAS 76 X 16MM G-50 PIEZA,306.02
10031,18736-1 DISCO DE CERDAS ROLOC 76 X 16 MM G-80 PIEZA,306.02
10032,0512-1 DISCO HOOKIT REGALITE P80 6P 3M (VERDE) PIEZA,45.13
10034,0516-1 DISCO HOOKIT REGALITE P36 6P 3M (VERDE) PIEZA,58.41
10035,31370-1 DISCO HOOKIT CUBITRON II 6PULG G40 PIEZA,41.13
10036,31373-1 DISCO HOOKIT CUBITRON II 282 PERF G150 PIEZA,28.04
10037,33392-1 DISCO ROLOC CUBITRON II 3PULG G80 PIEZA,52.8
10038,5527-1 DISCO 3M ROLOC SCOTCH-BRITE MARRON  PIEZA,43.69
10039,"5529-1 DISCO ROLOC SCOTH BRITE 3"". GRIS A SFINO PIEZA",106.65
10040,"5530-1 DISCO ROLOC SCOTH BRITE 3"". AZUL  MUY FINO PIEZA",81.95
10041,"5531-1 DISCO ROLOC SCOTCHBRITE 3"". MARRON MEDIANO PIEZA",81.95
10042,"5532-1 DISCO ROLOC SCOTH BRITE 3"" CAFE A CRS PIEZA",81.95
10043,2600-1 ESPONJA ABRASIVA GRADO MUY FINO 114 X 140 MM. PIEZA,51.32
10044,2602-1 ESPONJA ABRASIVA GRADO SUPER FINO PIEZA,51.32
10045,2604-1 ESPONJA ABRASIVA GRADO FINO 114 X 140 MM. PIEZA,51.32
10046,2606-1 ESPONJA ABRASIVA GRADO MEDIANO 114 X 140 MM. PIEZA,51.32
10047,"2019-1 IMPERIAL WETORDRY 9 X 11"",G-2500 PIEZA",43.3
10048,2020-1 LIJA IMPERIAL WETORDRY 9 X 11 G-2000 PIEZA,43.3
10049,2021-1 LIJA DE AGUA MICROFINA 3M NO 1000 PIEZA,24.44
10050,2022-1 LIJA DE AGUA MICROFINA 3M # 1200 PIEZA,24.44
10051,2023-1 LIJA DE AGUA MICROFINA 3M P1500 PIEZA,24.44
10052,2032-1 LIJA IMPERIAL WETORDRY 9 X 11G-1500 PIEZA,43.3
